role,size_bytes,size_pretty,gbps,gb_s
server,256,256 B,0.0021964353193646797,0.00027455441492058497
server,1024,1.0 KB,0.21584421817391672,0.02698052727173959
server,4096,4.0 KB,0.9585687031699467,0.11982108789624334
server,16384,16.0 KB,2.9843828334559017,0.3730478541819877
server,65536,64.0 KB,10.49035502053883,1.3112943775673538
server,262144,256.0 KB,33.360939377421275,4.170117422177659
server,1048576,1.0 MB,75.33462380638746,9.416827975798432
server,4194304,4.0 MB,88.55206552399179,11.069008190498973
server,8388608,8.0 MB,251.55198935573478,31.443998669466847
server,16777216,16.0 MB,298.1968105969051,37.27460132461314
server,33554432,32.0 MB,320.7870342093478,40.09837927616847
server,67108864,64.0 MB,338.7940112779281,42.349251409741015
server,134217728,128.0 MB,359.818665450892,44.9773331813615
server,268435456,256.0 MB,370.4870361712564,46.31087952140705
server,536870912,512.0 MB,376.68560382207977,47.08570047775997
server,1073741824,1.0 GB,376.725519828826,47.09068997860325
server,256,256 B,0.0008083655727193087,0.00010104569658991359
server,1024,1.0 KB,0.2068519701191426,0.025856496264892826
server,4096,4.0 KB,0.9699006916391125,0.12123758645488907
server,16384,16.0 KB,2.953189766111034,0.3691487207638792
server,65536,64.0 KB,10.54648759470464,1.31831094933808
server,262144,256.0 KB,33.33278472469648,4.16659809058706
server,1048576,1.0 MB,74.22344912817799,9.277931141022249
server,4194304,4.0 MB,43.13063090323729,5.391328862904661
server,8388608,8.0 MB,237.41155937912856,29.67644492239107
server,16777216,16.0 MB,286.0257539957075,35.753219249463434
server,33554432,32.0 MB,325.5840134388224,40.6980016798528
server,67108864,64.0 MB,331.6094425808918,41.45118032261148
server,134217728,128.0 MB,350.2159609376595,43.776995117207434
server,268435456,256.0 MB,364.77967221540894,45.59745902692612
server,536870912,512.0 MB,370.9716872405754,46.37146090507193
server,1073741824,1.0 GB,376.04913334701916,47.006141668377396
