role,size_bytes,size_pretty,gbps,gb_sec
Server,256,256 B,0.0013812511466355997,0.00017265639332944996
Server,1024,1.0 KB,0.007957542162001497,0.0009946927702501871
Server,4096,4.0 KB,0.05571604683508525,0.006964505854385656
Server,16384,16.0 KB,0.4922309646081138,0.06152887057601422
Server,65536,64.0 KB,1.0586454110925398,0.13233067638656748
Server,262144,256.0 KB,35.19945732501079,4.399932165626349
Server,1048576,1.0 MB,121.01612609328636,15.127015761660795
Server,4194304,4.0 MB,148.6859407209854,18.585742590123175
Server,8388608,8.0 MB,243.2263132601963,30.403289157524537
Server,16777216,16.0 MB,344.0622703810763,43.00778379763454
Server,33554432,32.0 MB,434.4136668503862,54.30170835629828
Server,67108864,64.0 MB,510.9322120141936,63.8665265017742
Server,134217728,128.0 MB,552.6829786476229,69.08537233095286
Server,268435456,256.0 MB,576.0931173554012,72.01163966942515
Server,536870912,512.0 MB,594.7121964155,74.3390245519375
Server,1073741824,1.0 GB,604.4769601962729,75.55962002453411
